Domain	n_seqs	mean_length	cv_length	mean_entropy	frac_conserved
EF-hand	246	35.53252032520325	0.056834077856021605	2.2864657774384938	0.35802469135802467
EGF-like	90	38.544444444444444	0.11236851028686189	2.200042722651141	0.2716049382716049
Sushi	73	60.56164383561644	0.04449053464155348	2.716605213690731	0.2625
LRRCT	43	51.372093023255815	0.10274846710390804	2.12789009790718	0.4
SH	38	61.05263157894737	0.029575373790359384	2.386156787955774	0.25
LIM zinc-binding	36	57.833333333333336	0.07673502568123543	2.397717701610594	0.275
F-box	34	47.61764705882353	0.060269062203226934	2.313505936019121	0.25925925925925924
Beta/gamma crystallin 'Greek key'	33	42.303030303030305	0.06748748259778727	2.1180182628626265	0.2716049382716049
Kazal-like	27	55.925925925925924	0.09103491537716336	2.3143499018873444	0.25
IQ	25	28.4	0.11442307612163324	1.7220678152576212	0.38596491228070173
Ig-like C2-type	23	60.30434782608695	0.07518966301072064	2.2892545098402883	0.2625
PSI	21	50.76190476190476	0.08154339141501213	2.274268128422007	0.2625
LRRNT	19	35.36842105263158	0.15546144555619493	1.650946452621407	0.325
CBS	19	60.26315789473684	0.035238848911496964	2.290850831289238	0.25
SAM	17	64.88235294117646	0.010416251398981015	2.3284719801615914	0.25
I-EGF	15	40.333333333333336	0.12101160474527686	1.692549752692787	0.3
SOCS box	14	51.5	0.12706424106677983	1.9594454315656986	0.25
t-SNARE coiled-coil homology	13	63.0	0.0	2.190065025304341	0.25
Laminin EGF-like	13	54.61538461538461	0.11592156813268877	1.796100922572392	0.2875
EGF-like 2; calcium-binding	13	44.0	0.10808098962289324	1.8452707333004283	0.32098765432098764
LDL-receptor class A	13	38.38461538461539	0.0719212763323702	1.8529989187722118	0.3333333333333333
SMB	12	45.083333333333336	0.07546933701513346	2.0204544197520966	0.25925925925925924
CHCH	12	44.333333333333336	0.05473766834045502	2.113043282092719	0.24691358024691357
DHHC	12	51.166666666666664	0.01080333807933355	1.7679543257403794	0.2839506172839506
J	11	63.36363636363637	0.05760361520770367	1.9605598937723656	0.2625
SH3	11	60.63636363636363	0.03166223700441211	2.172510759604596	0.25
BPTI/Kunitz inhibitor	10	51.3	0.01754385964912281	1.908162690352621	0.2839506172839506
LisH	10	33.0	0.0	1.62133240064474	0.38461538461538464
Fibronectin type-II	10	48.5	0.02482803005936556	1.3331347457817337	0.4935064935064935
