	logreg_coef_standardized	abs_coef	suggested_weight	cohen_d
anchoringIndex	-1.4513510239646994	1.4513510239646994	0.09048658361443232	-0.8176316296005444
negativeSurfaceFraction	1.3857203444135553	1.3857203444135553	0.08639474375293989	0.6017233239116417
interactionIndex	-1.1800891360640535	1.1800891360640535	0.07357436796457616	-1.0915403141980475
meanDomainplddt	1.0613430311166074	1.0613430311166074	0.06617096990525417	0.40026453996565753
positiveSurfaceFraction	1.0188222225662176	1.0188222225662176	0.06351994845371199	0.384599938242811
frac_polar	-1.0060377541727556	1.0060377541727556	0.06272288223806216	-0.1888267283552313
mean_hydropathy	-0.9342049166316456	0.9342049166316456	0.05824435984540928	-0.49280844137294555
aromaticSurfaceFraction	0.9029363930580588	0.9029363930580588	0.05629487841319718	0.5676067007959231
FCR	-0.885240053411545	0.885240053411545	0.055191574463530055	0.27856696170044065
frac_D	-0.813421900725974	0.813421900725974	0.050713967619484414	-0.1803413592786471
fractionBuried	-0.7863946452284767	0.7863946452284767	0.04902891419404762	-1.0161892008673123
surfaceFraction	-0.76120346035074	0.76120346035074	0.04745833325315363	-0.6966588106713265
frac_R	-0.6522452264200557	0.6522452264200557	0.04066517420186022	0.007014350877126479
frac_proline	-0.617793654303175	0.617793654303175	0.03851724099374709	-0.007437751969463256
contactDensity	-0.46883292332236004	0.46883292332236004	0.02923006827219444	-0.6362031866765807
abs_NCPR	0.4541574921278987	0.4541574921278987	0.02831510723938521	0.2315454824554035
frac_glycine	-0.3508477038806473	0.3508477038806473	0.021874108722784044	-0.010866209057967658
frac_Y	-0.3204885852421831	0.3204885852421831	0.019981325459617602	0.2801615303257197
Rg(Compactness)	-0.19510333591754445	0.19510333591754445	0.012164000319323824	-0.18083044249961075
frac_F	0.1901095246650135	0.1901095246650135	0.011852653917250506	0.04712210824064399
frac_hydrophobic	-0.17493702111975845	0.17493702111975845	0.010906702188124649	-0.37639069633744227
frac_E	-0.16231571361553818	0.16231571361553818	0.010119808474649123	0.2916439793846352
frac_K	-0.11739877709383749	0.11739877709383749	0.0073193969510659245	0.35290720044078605
NCPR	0.06748221440856801	0.06748221440856801	0.004207276486350871	0.11543083312492333
frac_aromatic	-0.05661701875207602	0.05661701875207602	0.0035298701118594558	0.32243168216727597
frac_W	0.02431161599821494	0.02431161599821494	0.0015157429439881342	0.2416803006892053
