	logreg_coef_standardized	abs_coef	suggested_weight	cohen_d
anchoringIndex	-2.354603973977339	2.354603973977339	0.17031248053859196	-0.610089612820363
interactionIndex	-1.5403483683549042	1.5403483683549042	0.11141599793741847	-1.040132290792373
positiveSurfaceFraction	1.4320772960709531	1.4320772960709531	0.10358456849321149	0.4334245160298694
negativeSurfaceFraction	1.082144499396331	1.082144499396331	0.07827333854451217	0.3846452823043691
aromaticSurfaceFraction	0.9950614421604893	0.9950614421604893	0.0719744739988673	0.5852420905225972
fractionBuried	-0.9160858742262499	0.9160858742262499	0.06626203784167178	-1.031437050475905
frac_proline	-0.7080100585486324	0.7080100585486324	0.051211562814958464	-0.1517411453637096
surfaceFraction	-0.6817767652637061	0.6817767652637061	0.04931406442396357	-0.43563163318859277
Rg(Compactness)	-0.6689421617973638	0.6689421617973638	0.048385715887547226	-0.21760568317572493
frac_hydrophobic	-0.49916511652240186	0.49916511652240186	0.03610545558099179	-0.21643427721003317
frac_D	-0.48112063155339924	0.48112063155339924	0.0348002675200369	-0.23892398615203453
frac_R	-0.33596421756739536	0.33596421756739536	0.024300859039772006	0.011910176850586384
contactDensity	0.33001428194068905	0.33001428194068905	0.023870490151063482	-0.4654851785882126
mean_hydropathy	0.3275466978179891	0.3275466978179891	0.0236920056256319	-0.46553048451267237
FCR	-0.2609475747720013	0.2609475747720013	0.018874778621424754	0.4694363230071999
frac_polar	-0.22478957977237654	0.22478957977237654	0.016259409800278204	-0.2566905451222008
frac_E	0.17189208556630015	0.17189208556630015	0.01243324474149139	0.534309689234734
frac_F	0.15379968649530448	0.15379968649530448	0.011124590972649563	0.23974770505584822
frac_glycine	-0.12882916718758106	0.12882916718758106	0.00931843115527209	-0.055931348609988066
frac_aromatic	0.11314726979937216	0.11314726979937216	0.008184133042614939	0.43589343327618596
meanDomainplddt	-0.1093230572232454	0.1093230572232454	0.007907521290853198	-0.23120837691281615
abs_NCPR	0.10346033881844796	0.10346033881844796	0.007483460971047623	0.1100663056726933
frac_K	0.09551602386091032	0.09551602386091032	0.006908835258379436	0.5097357444122091
frac_W	-0.055144908341635074	0.055144908341635074	0.00398872431735204	0.21457275232265258
frac_Y	0.05197409092481846	0.05197409092481846	0.003759373740541111	0.2788747350454262
NCPR	0.00351405720086401	0.00351405720086401	0.00025417768985699105	0.11332971919816068
